City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,hermanus,ZA,64.0,moderate rain,-34.4187,19.2345,Misty Waves Boutique Hotel
5,rikitea,PF,80.91,moderate rain,-23.1203,-134.9692,Pension Maro'i
9,vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
11,mar del plata,AR,71.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
12,camargo,MX,72.19,broken clouds,27.6667,-105.1667,Hotel Santa Fe
17,inongo,CD,75.2,overcast clouds,-1.95,18.2667,Hotel Du Lac
19,saint-pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
21,east london,ZA,73.08,broken clouds,-33.0153,27.9116,Tu Casa
22,saint george,US,63.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
27,castro,BR,64.65,few clouds,-24.7911,-50.0119,CHACARA BAILLY
28,ancud,CL,60.8,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
31,port elizabeth,ZA,69.8,light rain,-33.918,25.5701,39 On Nile Guest House
36,kavieng,PG,84.02,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
42,saint-philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,isangel,VU,80.6,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
45,butaritari,KI,81.0,light rain,3.0707,172.7902,Isles Sunset Lodge
46,alice springs,AU,60.8,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
49,mattru,SL,76.24,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
51,moussoro,TD,83.34,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
52,chauk,MM,71.13,scattered clouds,20.8833,94.8167,Bo Khin Guest House
53,nachingwea,TZ,70.05,overcast clouds,-10.3833,38.7667,Makoga lodge
54,saint-leu,RE,78.8,clear sky,-21.15,55.2833,La Caz Oceane
57,ribeira grande,PT,60.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
59,nizwa,OM,65.44,scattered clouds,22.9333,57.5333,Orient Apartments
62,paita,PE,77.74,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
63,port alfred,ZA,70.0,overcast clouds,-33.5906,26.891,The Halyards Hotel
64,chuy,UY,63.9,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
66,atuona,PF,80.1,scattered clouds,-9.8,-139.0333,Villa Enata
71,kanth,IN,61.07,clear sky,29.0667,78.6333,Sagar Hotel
73,puerto ayora,EC,80.01,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
77,mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
78,sur,OM,75.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
80,vila velha,BR,78.8,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
82,pithapuram,IN,69.22,clear sky,17.1167,82.2667,Dhanamjay
84,bambous virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
88,kruisfontein,ZA,68.0,light rain,-34.0033,24.7314,Oyster Bay House Rental
90,grand gaube,MU,75.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
96,matadi,CD,76.08,overcast clouds,-5.8167,13.45,Hotel Fortune
99,coahuayana,MX,82.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
100,vila franca do campo,PT,60.8,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
102,san andres,CO,82.4,few clouds,12.5847,-81.7006,Hotel Arena Blanca
103,hithadhoo,MV,84.11,overcast clouds,-0.6,73.0833,Scoop Guest House
105,bhadrachalam,IN,67.23,clear sky,17.6667,80.8833,Hotel Srinidhi Residency
106,kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
109,busselton,AU,61.0,few clouds,-33.65,115.3333,Observatory Guest House
112,carnarvon,AU,77.0,few clouds,-24.8667,113.6333,Hospitality Carnarvon
115,ixtapa,MX,73.4,few clouds,20.7,-105.2,Hotel Plaza Providencia
116,cidreira,BR,73.62,scattered clouds,-30.1811,-50.2056,Hotel Castelo
118,taquari,BR,75.99,few clouds,-29.7997,-51.8644,Martins Hotel
119,hobart,AU,68.0,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
122,ngudu,TZ,65.64,broken clouds,-2.9667,33.3333,Majani Classic Lodge
123,bredasdorp,ZA,66.2,moderate rain,-34.5322,20.0403,Bredasdorp Country Manor
124,hilo,US,73.99,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
125,cahabon,GT,71.6,scattered clouds,15.5667,-89.8167,Hotel San Angelo Santa María Cahabón A.V.
127,victoria,HK,70.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
130,japura,ID,74.77,broken clouds,-0.3167,102.35,Rumah mbah Jamah
131,thongwa,MM,77.0,scattered clouds,16.7619,96.5278,U Poe Sann
132,new norfolk,AU,68.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
133,waingapu,ID,80.26,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
135,los llanos de aridane,ES,66.2,overcast clouds,28.6585,-17.9182,Valle Aridane
136,angoche,MZ,75.4,few clouds,-16.2325,39.9086,Guest House HESADA
139,vila do maio,CV,69.8,clear sky,15.1333,-23.2167,Residence 'I Delfini'
140,meulaboh,ID,76.03,broken clouds,4.1363,96.1285,Kost Pria
141,catuday,PH,79.25,broken clouds,16.2923,119.8062,GResort
142,coihaique,CL,66.2,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
143,touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
144,ibiruba,BR,68.83,clear sky,-28.6275,-53.0897,Hotel Pitangueira - O melhor serviço pelo menor preço.
145,oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
149,vao,NC,76.93,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
154,oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
156,tchollire,CM,81.19,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
159,sinnamary,GF,76.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
160,safford,US,60.8,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
161,kasempa,ZM,61.38,scattered clouds,-13.4584,25.8338,Lolelunga Forest Reserve
163,whitianga,NZ,68.86,few clouds,-36.8333,175.7,Beachside Resort Whitianga
164,manta,EC,82.4,broken clouds,-0.95,-80.7333,Balandra Hotel
168,kindu,CD,70.09,light rain,-2.95,25.95,Résidence Okanda
172,arraial do cabo,BR,77.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
