City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,luderitz,NA,-26.6481,15.1594,65.93,78,0,18.37,clear sky
1,hermanus,ZA,-34.4187,19.2345,64.0,94,96,5.23,moderate rain
2,rokytne,UA,51.2796,27.214,33.35,91,56,5.39,broken clouds
3,khatanga,RU,71.9667,102.5,-20.45,95,100,10.92,overcast clouds
4,albany,US,42.6001,-73.9662,28.99,40,60,5.01,broken clouds
5,rikitea,PF,-23.1203,-134.9692,80.91,76,23,12.66,moderate rain
6,channel-port aux basques,CA,47.5702,-59.1367,20.25,82,100,18.12,overcast clouds
7,barrow,US,71.2906,-156.7887,-4.0,77,1,17.27,snow
8,havre,FR,49.5833,0.3333,46.4,93,90,18.41,overcast clouds
9,vaini,TO,-21.2,-175.2,84.2,74,75,9.22,broken clouds
10,narsaq,GL,60.9167,-46.05,37.4,44,75,28.77,light snow
11,mar del plata,AR,-38.0023,-57.5575,71.01,68,3,5.03,clear sky
12,camargo,MX,27.6667,-105.1667,72.19,4,58,2.62,broken clouds
13,suraabad,AZ,40.8192,49.4687,37.4,100,40,2.3,mist
14,ushuaia,AR,-54.8,-68.3,50.0,62,75,8.05,broken clouds
15,upernavik,GL,72.7868,-56.1549,-4.72,99,100,6.33,overcast clouds
16,ponta do sol,PT,32.6667,-17.1,57.0,66,100,3.0,overcast clouds
17,inongo,CD,-1.95,18.2667,75.2,83,98,5.82,overcast clouds
18,yellowknife,CA,62.456,-114.3525,12.0,79,90,6.91,light snow
19,saint-pierre,RE,-21.3393,55.4781,77.0,83,0,5.75,clear sky
20,mataura,NZ,-46.1927,168.8643,57.99,91,100,11.99,overcast clouds
21,east london,ZA,-33.0153,27.9116,73.08,85,81,7.36,broken clouds
22,saint george,US,37.1041,-113.5841,63.0,33,1,18.41,clear sky
23,montrose,US,38.4166,-108.2673,36.0,61,95,8.01,overcast clouds
24,hami,CN,42.8,93.45,44.64,46,100,9.75,overcast clouds
25,jamestown,US,42.097,-79.2353,28.4,50,1,11.27,clear sky
26,brae,GB,60.3964,-1.353,42.8,81,90,20.71,overcast clouds
27,castro,BR,-24.7911,-50.0119,64.65,83,15,2.66,few clouds
28,ancud,CL,-41.8697,-73.8203,60.8,72,0,5.75,clear sky
29,lagoa,PT,39.05,-27.9833,59.61,91,20,13.0,few clouds
30,kysyl-syr,RU,63.8986,122.7617,-9.24,92,66,9.66,broken clouds
31,port elizabeth,ZA,-33.918,25.5701,69.8,94,90,9.22,light rain
32,kuryk,KZ,43.2,51.65,33.04,48,69,13.44,broken clouds
33,pangnirtung,CA,66.1451,-65.7125,-16.89,90,20,1.63,few clouds
34,cherskiy,RU,68.75,161.3,-12.06,90,100,7.94,overcast clouds
35,nanortalik,GL,60.1432,-45.2371,29.89,84,100,11.05,light snow
36,kavieng,PG,-2.5744,150.7967,84.02,65,88,3.94,overcast clouds
37,lardos,GR,36.0942,28.0157,57.0,94,75,6.64,broken clouds
38,tasiilaq,GL,65.6145,-37.6368,26.6,59,90,25.32,light snow
39,lac du bonnet,CA,50.2536,-96.0612,31.64,57,15,5.19,few clouds
40,bonavista,CA,48.6499,-53.1147,28.0,86,100,2.3,overcast clouds
41,port hardy,CA,50.6996,-127.4199,39.2,75,75,12.66,light snow
42,saint-philippe,RE,-21.3585,55.7679,78.8,73,0,6.91,light rain
43,isangel,VU,-19.55,169.2667,80.6,89,75,5.75,broken clouds
